condition,fsm,task,beta,sum_log_p,count
hidden_beta_an,easy,prediction,0.52,-161.69414187418016,15.0
hidden_beta_an,easy,prediction,0.54,-165.73528579218745,15.0
hidden_beta_an,easy,prediction,0.56,-169.81861675783827,15.0
hidden_beta_an,easy,prediction,0.58,-173.94097228240446,15.0
hidden_beta_an,easy,prediction,0.6,-178.09958245321178,15.0
hidden_beta_an,easy,prediction,0.62,-182.29201392904938,15.0
hidden_beta_an,easy,prediction,0.64,-186.51612161035098,15.0
hidden_beta_an,easy,prediction,0.66,-190.77000707690337,15.0
hidden_beta_an,easy,prediction,0.68,-195.05198294995228,15.0
hidden_beta_an,easy,prediction,0.7,-199.3605424100168,15.0
hidden_beta_an,easy,prediction,0.72,-203.6943331796159,15.0
hidden_beta_an,easy,prediction,0.74,-208.0521353570253,15.0
hidden_beta_an,easy,prediction,0.76,-212.43284256028022,15.0
hidden_beta_an,easy,prediction,0.78,-216.83544590840066,15.0
hidden_beta_an,easy,prediction,0.8,-221.25902042843572,15.0
hidden_beta_an,easy,prediction,0.82,-225.702713532171,15.0
hidden_beta_an,easy,prediction,0.84,-230.1657352553705,15.0
hidden_beta_an,easy,prediction,0.86,-234.64734999552013,15.0
hidden_beta_an,easy,prediction,0.88,-239.14686952175808,15.0
hidden_beta_an,easy,prediction,0.9,-243.66364706337777,15.0
hidden_beta_an,easy,prediction,0.92,-248.19707231162505,15.0
hidden_beta_an,easy,prediction,0.94,-252.74656719396992,15.0
hidden_beta_an,easy,prediction,0.96,-257.31158230093047,15.0
