"participant_id","fsm_number","trial_number","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
2,21,5,2,"b",2,0,"a",2,"b",2,1632.54500000298,0,"2b2"
2,21,6,2,"b",2,2,"b",2,"b",2,1436.287,0,"2b2"
2,21,7,2,"b",2,2,"b",2,"b",2,775.860000000001,0,"2b2"
2,21,8,2,"a",0,2,"b",2,"a",0,915.408000001495,0,"2a0"
2,21,9,0,"a",2,2,"a",0,"a",2,2816.1430000015,0,"0a2"
2,21,10,2,"a",0,0,"a",2,"a",0,2982.63300000149,0,"2a0"
2,21,11,0,"a",2,2,"a",0,"a",2,2695.65400000298,0,"0a2"
2,21,12,2,"a",0,0,"a",2,"a",0,868.602000001483,0,"2a0"
2,21,13,0,"a",2,2,"a",0,"a",2,1162.13300000149,0,"0a2"
2,21,14,2,"b",2,0,"a",2,"b",2,1011.8480000015,0,"2b2"
2,21,15,2,"b",2,2,"b",2,"b",2,605.498000001491,0,"2b2"
2,21,16,2,"b",2,2,"b",2,"b",2,404.034000002241,0,"2b2"
2,21,17,2,"b",2,2,"b",2,"b",2,617.974000002985,0,"2b2"
2,21,18,2,"a",3,2,"b",2,"a",3,444.762000002986,0,"2a3"
2,21,19,3,"a",0,2,"a",3,"a",0,625.093000002977,0,"3a0"
2,21,20,0,"a",2,3,"a",0,"a",2,616.652000002985,0,"0a2"
2,21,21,2,"a",3,0,"a",2,"a",3,478.488000002981,0,"2a3"
2,21,22,3,"a",1,2,"a",3,"a",1,561.459000002986,0,"3a1"
2,21,23,1,"a",0,3,"a",1,"a",0,256.463000000746,1,"1a0"
2,21,24,0,"a",2,1,"a",0,"a",2,435.468000001492,0,"0a2"
2,21,25,2,"a",0,0,"a",2,"a",0,1569.98800000074,0,"2a0"
2,21,26,0,"a",2,2,"a",0,"a",2,651.382000002981,0,"0a2"
2,21,27,2,"a",0,0,"a",2,"a",0,505.834000002971,0,"2a0"
2,21,28,0,"a",2,2,"a",0,"a",2,560.796000002971,0,"0a2"
2,21,29,2,"a",0,0,"a",2,"a",0,868.840000000753,0,"2a0"
2,21,30,0,"a",2,2,"a",0,"a",2,515.697000001499,0,"0a2"
2,21,31,2,"a",3,0,"a",2,"a",3,1538.47700000298,0,"2a3"
2,21,32,3,"a",1,2,"a",3,"a",1,470.273000002984,0,"3a1"
2,21,33,1,"a",0,3,"a",1,"a",0,344.94300000224,0,"1a0"
2,21,34,0,"a",2,1,"a",0,"a",2,409.423000002222,0,"0a2"
2,21,35,2,"a",0,0,"a",2,"a",0,272.471000000747,1,"2a0"
2,21,36,0,"a",2,2,"a",0,"a",2,357.913000002969,0,"0a2"
2,21,37,2,"a",0,0,"a",2,"a",0,443.025000002992,0,"2a0"
2,21,38,0,"a",2,2,"a",0,"a",2,430.733000001492,0,"0a2"
2,21,39,2,"a",0,0,"a",2,"a",0,514.98900000297,0,"2a0"
2,21,40,0,"a",2,2,"a",0,"a",2,522.516000001488,0,"0a2"
2,21,41,2,"a",3,0,"a",2,"a",3,801.128000002995,0,"2a3"
2,21,42,3,"a",0,2,"a",3,"a",0,363.679000002972,0,"3a0"
2,21,43,0,"a",2,3,"a",0,"a",2,372.531000000745,0,"0a2"
2,21,44,2,"a",3,0,"a",2,"a",3,254.965000000753,1,"2a3"
2,21,45,3,"a",0,2,"a",3,"a",0,961.141000002972,0,"3a0"
3,21,1,2,"b",2,NA,NA,NA,NA,NA,2698.24699997615,0,"2b2"
3,21,2,2,"a",0,2,"b",2,"a",0,2576.14500007153,0,"2a0"
3,21,3,0,"b",2,2,"a",0,"b",2,2992.60800007153,0,"0b2"
3,21,4,2,"b",2,0,"b",2,"b",2,2174.83100004768,0,"2b2"
3,21,5,2,"a",3,2,"b",2,"a",3,2419.43200002384,0,"2a3"
3,21,6,3,"a",1,2,"a",3,"a",1,1654.11900004768,0,"3a1"
3,21,7,1,"a",0,3,"a",1,"a",0,1777.20599997615,0,"1a0"
3,21,8,0,"b",2,1,"a",0,"b",2,1163.97800002384,0,"0b2"
3,21,9,2,"b",2,0,"b",2,"b",2,1952.64599999999,0,"2b2"
3,21,10,2,"a",0,2,"b",2,"a",0,1514.80500004768,0,"2a0"
3,21,11,0,"a",2,2,"a",0,"a",2,788.731999976153,0,"0a2"
3,21,12,2,"a",3,0,"a",2,"a",3,862.547999976159,0,"2a3"
3,21,13,3,"b",3,2,"a",3,"b",3,676.068999976153,0,"3b3"
3,21,14,3,"b",3,3,"b",3,"b",3,1336.89399997616,0,"3b3"
3,21,15,3,"b",3,3,"b",3,"b",3,902.722000023845,0,"3b3"
3,21,16,3,"a",1,3,"b",3,"a",1,637.648000047688,0,"3a1"
3,21,17,1,"a",0,3,"a",1,"a",0,1700.57500007152,0,"1a0"
